label	n_nodes	current_grounding	current_status	route	target	swissprot_alt	go_alt	go_label	interpro_alt	curator_decision	note
crvA mRNA	1			NO_CANDIDATE							no automated candidate; needs manual curation
cytochrome bc1 and NADH dehydrogenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
cytochrome bc1 complex	1			CANDIDATE_InterPro	IPR009152	UniProtKB:P9WP37	GO:0045275	respiratory chain complex III	IPR009152		family-level candidate; verify it is not a subunit/domain
cytochrome bc1 complex (complex III)	1			REVIEW_GO_SUSPECT	GO:0045275		GO:0045275	respiratory chain complex III			top-hit failed the exactness check — likely wrong
cytochrome bd oxidase	1			CURATED_LABEL_ONLY						RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
cytochrome bd terminal oxidase	1			NO_CANDIDATE							no automated candidate; needs manual curation
cytochrome bd ubiquinol oxidase	1			CANDIDATE_SwissProt	UniProtKB:Q2YKD6	UniProtKB:Q2YKD6					reviewed entry; instance-level — pair with a taxon if used
cytochrome bd-type terminal oxidase	1			NO_CANDIDATE							no automated candidate; needs manual curation
cytochrome c	1			CANDIDATE_InterPro	IPR000298	UniProtKB:P24469	CHEBI:18070	cytochrome c	IPR000298		family-level candidate; verify it is not a subunit/domain
cytochrome cbb3 oxidase	1			REVIEW_GO_SUSPECT	GO:1904960		GO:1904960	positive regulation of cytochrome-c oxidase activity			top-hit failed the exactness check — likely wrong
cytochrome cd1 nitrite reductase NirS	1	GO:0050421		CURATED_GO	GO:0050421					APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
cytoplasmic carbonic anhydrase	1			NO_CANDIDATE							no automated candidate; needs manual curation
czc/cnr cobalt efflux system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
denatured proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:0030164	protein denaturation			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
denitrification reductases	1			NO_CANDIDATE							no automated candidate; needs manual curation
des (acyl-lipid desaturase)	1			REVIEW_GO_SUSPECT	GO:0102865		GO:0102865	delta6-acyl-lipid desaturase activity			top-hit failed the exactness check — likely wrong
desiccation-related intrinsically disordered proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
divisome and PBPs	1			NO_CANDIDATE							no automated candidate; needs manual curation
dockerin domain	1			CANDIDATE_InterPro	IPR002883		GO:1990308	type-I dockerin domain binding	IPR002883		family-level candidate; verify it is not a subunit/domain
drug efflux pump	1			CANDIDATE_InterPro	IPR019702	UniProtKB:P9WJW9	GO:0042910	xenobiotic transmembrane transporter activity	IPR019702		family-level candidate; verify it is not a subunit/domain
ectABC/ectBACD gene cluster	1			NO_CANDIDATE							no automated candidate; needs manual curation
elongasome (PBP2b/RodA)	1			NO_CANDIDATE							no automated candidate; needs manual curation
encapsulated metabolic enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
endo-chitinase	1			REVIEW_GO_SUSPECT	GO:0008843		GO:0008843	endochitinase activity			top-hit failed the exactness check — likely wrong
energy-transducing enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
exochitinase / chitobiosidase	1			NO_CANDIDATE							no automated candidate; needs manual curation
extracellular exoenzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
family A cytochrome c oxidase	1			NO_CANDIDATE							no automated candidate; needs manual curation
ferredoxin	1			CANDIDATE_InterPro	IPR000813	UniProtKB:P00250	CHEBI:5017	ferredoxin	IPR000813		family-level candidate; verify it is not a subunit/domain
ferredoxin/flavodoxin	1			CANDIDATE_InterPro	IPR050722	UniProtKB:P28901	GO:0008860	ferredoxin-NAD+ reductase activity	IPR050722		family-level candidate; verify it is not a subunit/domain
ferredoxin:NAD+ oxidoreductase	1			CURATED_LABEL_ONLY			GO:0004324	ferredoxin-NADP+ reductase activity		RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
flagellar C-ring switch complex	1			REVIEW_GO_SUSPECT	GO:0120100		GO:0120100	bacterial-type flagellum motor			top-hit failed the exactness check — likely wrong
flagellar basal body	1			CANDIDATE_InterPro	IPR001444	UniProtKB:P33977	GO:0009431	bacterial-type flagellum basal body, MS ring	IPR001444		family-level candidate; verify it is not a subunit/domain
flagellar basal motor	1			REVIEW_GO_SUSPECT	GO:0009429		GO:0009429	bacterial-type flagellum basal body, proximal rod			top-hit failed the exactness check — likely wrong
flagellar rotor	1			REVIEW_GO_SUSPECT	GO:0009433		GO:0009433	bacterial-type flagellum basal body, C ring			top-hit failed the exactness check — likely wrong
flagellar stator complex	1			REVIEW_GO_SUSPECT	GO:0120100		GO:0120100	bacterial-type flagellum motor			top-hit failed the exactness check — likely wrong
flagellar structural subunits	1			REVIEW_GO_SUSPECT	GO:0036156		GO:0036156	inner dynein arm			top-hit failed the exactness check — likely wrong
flagellar type III secretion system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
flhDC flagellar master operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
flotillins	1			REVIEW_GO_SUSPECT	GO:0016600		GO:0016600	flotillin complex			top-hit failed the exactness check — likely wrong
formaldehyde dehydrogenase (Fld/FDH)	1			NO_CANDIDATE							no automated candidate; needs manual curation
formate hydrogenlyase complex (FHL)	1			NO_CANDIDATE							no automated candidate; needs manual curation
formyl-THF synthetase (FTS/Fhs)	1			NO_CANDIDATE							no automated candidate; needs manual curation
formyl-THF synthetase (Fhs)	1			NO_CANDIDATE							no automated candidate; needs manual curation
gas vesicle gene cluster	1			NO_CANDIDATE							no automated candidate; needs manual curation
gene product	1			CANDIDATE_InterPro	IPR009752	UniProtKB:Q9HVD1	GO:1903799	negative regulation of miRNA processing	IPR009752		family-level candidate; verify it is not a subunit/domain
genes with marginal fitness benefit	1			NO_CANDIDATE							no automated candidate; needs manual curation
glutamate decarboxylase system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
glutamate decarboxylase system (Gad)	1			NO_CANDIDATE							no automated candidate; needs manual curation
glycyl radical enzymes	1			CLASS_NODE_DO_NOT_GROUND			GO:0043364	glycyl-radical enzyme activating activity			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
group II chaperonin (thermosome)	1			NO_CANDIDATE							no automated candidate; needs manual curation
heat shock genes	1			CLASS_NODE_DO_NOT_GROUND			GO:0035080	heat shock-mediated polytene chromosome puffing			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
heat-shock proteins / chaperones	1			REVIEW_GO_SUSPECT	GO:0101031		GO:0101031	protein folding chaperone complex			top-hit failed the exactness check — likely wrong
heat-shock response genes (rpoH, rpoE, dnaK, groEL)	1			NO_CANDIDATE							no automated candidate; needs manual curation
heme-copper oxidase	1			CANDIDATE_InterPro	IPR033943	UniProtKB:Q9YDX4			IPR033943		family-level candidate; verify it is not a subunit/domain
high-affinity solute-binding proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:0033573	high-affinity iron permease complex			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
high-affinity terminal oxidase	1			NO_CANDIDATE							no automated candidate; needs manual curation
hmgA homogentisate 1,2-dioxygenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
hppD 4-hydroxyphenylpyruvate dioxygenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
human-adapted virulence factors	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
hydrogenase	1			CURATED_LABEL_ONLY		UniProtKB:P29166	GO:0008901	ferredoxin hydrogenase activity	IPR000262	RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
hydrogenase complex	1			CANDIDATE_InterPro	IPR006256		GO:0044569	[Ni-Fe] hydrogenase complex	IPR006256		family-level candidate; verify it is not a subunit/domain
hydroxypyruvate reductase (HprA/HPR)	1			NO_CANDIDATE							no automated candidate; needs manual curation
hyperthermostable proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
integrase and excisionase	1			NO_CANDIDATE							no automated candidate; needs manual curation
integrase/recombinase/transposase mobility module	1			NO_CANDIDATE							no automated candidate; needs manual curation
integron integrase (IntI)	1			NO_CANDIDATE							no automated candidate; needs manual curation
intracellular peptidases	1			NO_CANDIDATE							no automated candidate; needs manual curation
iron-sulfur cluster enzymes	1			CLASS_NODE_DO_NOT_GROUND			GO:0009375	ferredoxin hydrogenase complex			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
leghemoglobin	1			REVIEW_GO_SUSPECT	GO:0015043		GO:0015043	leghemoglobin reductase [NAD(P)H] activity			top-hit failed the exactness check — likely wrong
lignin peroxidase	1			REVIEW_GO_SUSPECT	GO:0016690		GO:0016690	diarylpropane peroxidase activity			top-hit failed the exactness check — likely wrong
lignin-oxidizing redox enzymes (LiP/MnP/VP/laccase/DyP)	1			NO_CANDIDATE							no automated candidate; needs manual curation
low-potential energy-metabolism enzymes (PFOR/PFL)	1			NO_CANDIDATE							no automated candidate; needs manual curation
luciferase	1			CANDIDATE_InterPro	IPR002103	UniProtKB:P0ADV5	GO:0047077	Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing) activity	IPR002103		family-level candidate; verify it is not a subunit/domain
lycopene cyclases	1			REVIEW_GO_SUSPECT	GO:0045435		GO:0045435	lycopene epsilon cyclase activity			top-hit failed the exactness check — likely wrong
lytic polysaccharide monooxygenase (LPMO; AA10)	1			NO_CANDIDATE							no automated candidate; needs manual curation
malonyl-CoA reductase	1			CURATED_LABEL_ONLY		UniProtKB:A4YEN2				RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
mamAB operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
mcrABG gene cluster	1			NO_CANDIDATE							no automated candidate; needs manual curation
mechanosensitive channels	1			REVIEW_GO_SUSPECT	GO:0043854		GO:0043854	cyclic nucleotide-gated mechanosensitive monoatomic ion channel activity			top-hit failed the exactness check — likely wrong
mechanosensitive channels (Msc)	1			REVIEW_GO_SUSPECT	GO:0043854		GO:0043854	cyclic nucleotide-gated mechanosensitive monoatomic ion channel activity			top-hit failed the exactness check — likely wrong
mechanosensitive channels (MscL/MscS)	1			NO_CANDIDATE							no automated candidate; needs manual curation
mechanosensitive channels MscL/MscS	1			NO_CANDIDATE							no automated candidate; needs manual curation
membrane energy-conservation module (Rnf/Ech)	1			NO_CANDIDATE							no automated candidate; needs manual curation
membrane transporters	1			REVIEW_GO_SUSPECT	GO:1902312		GO:1902312	negative regulation of copper ion transmembrane transport			top-hit failed the exactness check — likely wrong
membrane-bound (de)hydrogenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
mer operon (MerA reductase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
mesophile enzyme repertoire	1			NO_CANDIDATE							no automated candidate; needs manual curation
metal efflux pump	1			NO_CANDIDATE							no automated candidate; needs manual curation
metallothionein / thiol-rich metal-binding proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
metazoan-adapted virulence factors	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
methyl-accepting chemotaxis protein (MCP)	1			MANUAL_REVIEW			GO:0008983	protein-glutamate O-methyltransferase activity	IPR004089		excluded by curator override
methyltransferase	1			CURATED_LABEL_ONLY		UniProtKB:O93658	GO:0003838	sterol 24-C-methyltransferase activity	IPR000176	RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
microbial rhodopsin	1			NO_CANDIDATE							no automated candidate; needs manual curation
mmoXYZ genes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
molecular chaperone network	1			NO_CANDIDATE							no automated candidate; needs manual curation
molecular chaperones (DnaK/GroEL/GroES/Clp/TF)	1			NO_CANDIDATE							no automated candidate; needs manual curation
molybdenum hydroxylase	1			CANDIDATE_InterPro	IPR017695				IPR017695		family-level candidate; verify it is not a subunit/domain
monovalent cation/proton antiporters	1			NO_CANDIDATE							no automated candidate; needs manual curation
motility and signal-transduction genes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
mrpA-G operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
mtlD mannitol-1-phosphate dehydrogenase	1			NO_CANDIDATE							no automated candidate; needs manual curation
nitric oxide reductase Nor	1			REVIEW_GO_SUSPECT	GO:0016966		GO:0016966	nitric oxide reductase activity			top-hit failed the exactness check — likely wrong
nitrite oxidoreductase (NXR)	1			NO_CANDIDATE							no automated candidate; needs manual curation
nitrous oxide reductase NosZ	1	GO:0050304		CURATED_GO	GO:0050304					APPLIED	curator-reviewed replacement; taxon-agnostic semantic grounding
nrf operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
nucleoid-associated proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:0036386	bacterial nucleoid DNA packaging			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
nuo NADH dehydrogenase I complex	1			NO_CANDIDATE							no automated candidate; needs manual curation
organic carbon import system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
osmolyte transport and synthesis genes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
outer membrane and secreted proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:0030256	type I protein secretion system complex			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
outer membrane porin	1			CANDIDATE_InterPro	IPR005318	UniProtKB:P22263	GO:0015288	porin activity	IPR005318		family-level candidate; verify it is not a subunit/domain
oxidative stress defense enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
oxygen-sensing regulation	1			REVIEW_GO_SUSPECT	CL:1000223		CL:1000223	pulmonary neuroendocrine cell			top-hit failed the exactness check — likely wrong
oxygen-sensitive enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
particulate methane monooxygenase (pMMO)	1			NO_CANDIDATE							no automated candidate; needs manual curation
peptide transport systems (Opp/DtpT/Dpp)	1			NO_CANDIDATE							no automated candidate; needs manual curation
peptidoglycan synthetases and hydrolases	1			NO_CANDIDATE							no automated candidate; needs manual curation
periplasmic GH3 hydrolase	1			NO_CANDIDATE							no automated candidate; needs manual curation
periplasmic Sox system	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
periplasmic multicopper oxidase (CueO-type)	1			NO_CANDIDATE							no automated candidate; needs manual curation
peroxidases and laccases	1			NO_CANDIDATE							no automated candidate; needs manual curation
pfa operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
phaP gene	1			REVIEW_GO_SUSPECT	PR:000014717		PR:000014717	protein SET			top-hit failed the exactness check — likely wrong
phage-encoded DNA methyltransferase	1			REVIEW_GO_SUSPECT	GO:0099018		GO:0099018	symbiont-mediated evasion of host restriction-modification system			top-hit failed the exactness check — likely wrong
phage-plasmid	1			NO_CANDIDATE							no automated candidate; needs manual curation
phasin (PhaP)	1			CANDIDATE_SwissProt	UniProtKB:P73545	UniProtKB:P73545	GO:0070088	polyhydroxyalkanoate granule			reviewed entry; instance-level — pair with a taxon if used
phosphorylated Spo0A (Spo0A~P)	1			NO_CANDIDATE							no automated candidate; needs manual curation
phosphotransacetylase / acetate kinase (Pta/AckA)	1			NO_CANDIDATE							no automated candidate; needs manual curation
photosynthesis gene cluster	1			NO_CANDIDATE							no automated candidate; needs manual curation
photosynthesis gene cluster (PGC)	1			NO_CANDIDATE							no automated candidate; needs manual curation
phytoene synthase	1			CANDIDATE_InterPro	IPR002060	UniProtKB:D5KXJ0	GO:0140630	all-trans-phytoene synthase activity	IPR002060		family-level candidate; verify it is not a subunit/domain
phz operons	1			NO_CANDIDATE							no automated candidate; needs manual curation
plant-cell-wall-degrading enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
plasmid	1			CANDIDATE_InterPro	IPR001668	UniProtKB:P08715	GO:0042150	plasmid recombination	IPR001668		family-level candidate; verify it is not a subunit/domain
plasmid-encoded anti-restriction genes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
plasmid-encoded methylase	1			NO_CANDIDATE							no automated candidate; needs manual curation
pmoCAB operon	1			NO_CANDIDATE							no automated candidate; needs manual curation
potassium uptake system	1			CLASS_NODE_DO_NOT_GROUND			GO:0031004	potassium ion-transporting ATPase complex			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
potassium uptake systems	1			CLASS_NODE_DO_NOT_GROUND			GO:0031004	potassium ion-transporting ATPase complex			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
primary proton pumps	1			NO_CANDIDATE							no automated candidate; needs manual curation
prodiginine biosynthetic gene cluster (Pig/Red)	1			NO_CANDIDATE							no automated candidate; needs manual curation
prophage	1			CANDIDATE_InterPro	IPR009634	UniProtKB:P24218	GO:0008979	prophage integrase activity	IPR009634		family-level candidate; verify it is not a subunit/domain
propionyl-CoA synthase	1			REVIEW_GO_SUSPECT	GO:0018491		GO:0018491	2-oxobutyrate synthase activity			top-hit failed the exactness check — likely wrong
protein secretion systems	1			CLASS_NODE_DO_NOT_GROUND			GO:0046819	protein secretion by the type V secretion system			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
proton-consuming reaction genes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
proton-coupled ATP synthase	1			REVIEW_GO_SUSPECT	GO:0016469		GO:0016469	proton-transporting two-sector ATPase complex			top-hit failed the exactness check — likely wrong
proton-coupled ATPases	1			REVIEW_GO_SUSPECT	GO:0016469		GO:0016469	proton-transporting two-sector ATPase complex			top-hit failed the exactness check — likely wrong
proton-translocating F1F0-ATPase	1			NO_CANDIDATE							no automated candidate; needs manual curation
proton:ion antiporters	1			REVIEW_GO_SUSPECT	GO:0051139		GO:0051139	metal cation:proton antiporter activity			top-hit failed the exactness check — likely wrong
pyoverdine NRPS enzymes (PvdL/PvdI/PvdJ/PvdD)	1			NO_CANDIDATE							no automated candidate; needs manual curation
pyruvate formate lyase (PflB)	1			NO_CANDIDATE							no automated candidate; needs manual curation
pyruvate formate-lyase (PFL)	1			REVIEW_GO_SUSPECT	GO:0043365		GO:0043365	[formate-C-acetyltransferase]-activating enzyme activity			top-hit failed the exactness check — likely wrong
pyruvate:ferredoxin oxidoreductase	1			CANDIDATE_InterPro	IPR033412	UniProtKB:Q2RMD6	GO:0019164	pyruvate synthase activity	IPR033412		family-level candidate; verify it is not a subunit/domain
quorum-quenching enzyme	1			CURATED_LABEL_ONLY		UniProtKB:G2JHL6				RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
rRNA operons	1			NO_CANDIDATE							no automated candidate; needs manual curation
redox protein	1			CANDIDATE_InterPro	IPR012882		GO:1990204	oxidoreductase complex	IPR012882		family-level candidate; verify it is not a subunit/domain
relaxase	1			CANDIDATE_InterPro	IPR011119	UniProtKB:P96635			IPR011119		family-level candidate; verify it is not a subunit/domain
respiratory Complex I (NADH:quinone oxidoreductase)	1			NO_CANDIDATE							no automated candidate; needs manual curation
respiratory nitrate reductase (NarGHI)	1			NO_CANDIDATE							no automated candidate; needs manual curation
respiratory nitrate reductase NarGHI	1			NO_CANDIDATE							no automated candidate; needs manual curation
respiratory proton-pumping complexes	1			NO_CANDIDATE							no automated candidate; needs manual curation
respiratory proton-pumping enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
respiratory reductases	1			REVIEW_GO_SUSPECT	GO:0009389		GO:0009389	dimethyl sulfoxide reductase activity			top-hit failed the exactness check — likely wrong
restriction endonuclease	1			CANDIDATE_InterPro	IPR004194		GO:0015666	restriction endodeoxyribonuclease activity	IPR004194		family-level candidate; verify it is not a subunit/domain
resuscitation-promoting factors (Rpf)	1			NO_CANDIDATE							no automated candidate; needs manual curation
ribosome hibernation factors (RMF/HPF/RaiA)	1			NO_CANDIDATE							no automated candidate; needs manual curation
ribulose-1,5-bisphosphate carboxylase/oxygenase (RubisCO)	1			NO_CANDIDATE							no automated candidate; needs manual curation
rubrerythrin/peroxidase	1			NO_CANDIDATE							no automated candidate; needs manual curation
scaffoldin	1			CANDIDATE_InterPro	IPR008768		GO:0043263	cellulosome	IPR008768		family-level candidate; verify it is not a subunit/domain
secreted depolymerizing enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
secreted proteases	1			REVIEW_GO_SUSPECT	GO:0033375		GO:0033375	protease localization to T cell secretory granule			top-hit failed the exactness check — likely wrong
secretory IgA	1			REVIEW_GO_SUSPECT	GO:0071751		GO:0071751	secretory IgA immunoglobulin complex			top-hit failed the exactness check — likely wrong
septal peptidoglycan hydrolase	1			NO_CANDIDATE							no automated candidate; needs manual curation
septal peptidoglycan hydrolases (RipA/RpfB)	1			NO_CANDIDATE							no automated candidate; needs manual curation
serine-glyoxylate aminotransferase (SgaA/SGT)	1			NO_CANDIDATE							no automated candidate; needs manual curation
sigma E	1			CURATED_LABEL_ONLY		UniProtKB:D0ZSY9	GO:0034245	mitochondrial DNA-directed RNA polymerase complex	IPR048186	RETRACTED	curator-reviewed retraction; no exact whole-protein, family, complex, or activity term
sigma F	1			CANDIDATE_InterPro	IPR000394	UniProtKB:P9WGX7	GO:0016987	sigma factor activity	IPR000394		family-level candidate; verify it is not a subunit/domain
sigma G	1			CANDIDATE_SwissProt	UniProtKB:P33658	UniProtKB:P33658	GO:0016989	sigma factor antagonist activity			reviewed entry; instance-level — pair with a taxon if used
sigma K	1			CANDIDATE_InterPro	IPR018764	UniProtKB:H8EVS9	GO:0030119	AP-type membrane coat adaptor complex	IPR018764		family-level candidate; verify it is not a subunit/domain
sigma-32 (RpoH)	1			NO_CANDIDATE							no automated candidate; needs manual curation
small heat shock proteins	1			CLASS_NODE_DO_NOT_GROUND			GO:0097707	ferroptosis			functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
soluble methane monooxygenase (sMMO)	1			NO_CANDIDATE							no automated candidate; needs manual curation
specific virulence traits	1			NO_CANDIDATE							no automated candidate; needs manual curation
stator complex	1			REVIEW_GO_SUSPECT	GO:0120101		GO:0120101	bacterial-type flagellum stator complex			top-hit failed the exactness check — likely wrong
substrate dehydrogenases	1			REVIEW_GO_SUSPECT	GO:0004471		GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity			top-hit failed the exactness check — likely wrong
succinate dehydrogenase / Complex II	1			REVIEW_GO_SUSPECT	GO:0045273		GO:0045273	respiratory chain complex II (succinate dehydrogenase)			top-hit failed the exactness check — likely wrong
surface adhesins	1			REVIEW_GO_SUSPECT	GO:0071980		GO:0071980	cell surface adhesin-mediated gliding motility			top-hit failed the exactness check — likely wrong
terminal oxidases	1			REVIEW_GO_SUSPECT	GO:0140647		GO:0140647	P450-containing electron transport chain			top-hit failed the exactness check — likely wrong
terminal respiratory oxidases	1			REVIEW_GO_SUSPECT	GO:0008535		GO:0008535	respiratory chain complex IV assembly			top-hit failed the exactness check — likely wrong
tetrathionate hydrolase (TetH)	1			NO_CANDIDATE							no automated candidate; needs manual curation
thermosome (group II chaperonin)	1			NO_CANDIDATE							no automated candidate; needs manual curation
thermostable enzymes	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
thermostable proteins	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
toxin-antitoxin modules	1			NO_CANDIDATE							no automated candidate; needs manual curation
toxin-antitoxin system	1			CLASS_NODE_DO_NOT_GROUND			GO:0044696	killing by virus of host cell by post-segregational killing	IPR004386		functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
type IV competence pilus	1			NO_CANDIDATE							no automated candidate; needs manual curation
type IV coupling protein	1			CANDIDATE_SwissProt	UniProtKB:P13464	UniProtKB:P13464	GO:0008564	protein-exporting ATPase activity			reviewed entry; instance-level — pair with a taxon if used
type IV restriction enzyme	1			CANDIDATE_InterPro	IPR062342		GO:0032067	type IV site-specific deoxyribonuclease activity	IPR062342		family-level candidate; verify it is not a subunit/domain
type IX secretion system	1			CLASS_NODE_DO_NOT_GROUND			GO:0160303	protein secretion by the type IX secretion system	IPR019847		functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
tyrosinase/laccase oxidases	1			NO_CANDIDATE							no automated candidate; needs manual curation
virulence factors	1			CLASS_NODE_DO_NOT_GROUND		UniProtKB:P0A4H2	GO:0097720	calcineurin-mediated signaling	IPR050909		functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
weak/absent shape-determining cytoskeleton	1			NO_CANDIDATE							no automated candidate; needs manual curation
xylanase systems	1			CLASS_NODE_DO_NOT_GROUND							functional class, not a protein — GO BP/MF or split into concrete nodes; never a single accession
